t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.03598871375733,-80.03598871375733
0.02,-80.06665451821452,-80.06665451821452
0.03,-80.09362477812968,-80.09362477812968
0.04,-80.1177904615188,-80.1177904615188
0.05,-80.13974166898426,-80.13974166898426
0.06,-80.15989878496846,-80.15989878496846
0.07,-80.1785723569343,-80.1785723569343
0.08,-80.19599731383151,-80.19599731383151
0.09,-80.2123548070019,-80.2123548070019
0.1,-80.22778693991707,-80.22778693991707
0.11,-80.24240700501647,-80.24240700501647
0.12,-80.25630673399866,-80.25630673399866
0.13,-80.2695615049475,-80.2695615049475
0.14,-80.28223412616197,-80.28223412616197
0.15,-80.29437761554456,-80.29437761554456
0.16,-80.3060372637545,-80.3060372637545
0.17,-80.31725218195164,-80.31725218195164
0.18,-80.32805647544845,-80.32805647544845
0.19,-80.33848014354953,-80.33848014354953
0.2,-80.34854977733335,-80.34854977733335
0.21,-80.35828910694609,-80.35828910694609
0.22,-80.36771943592234,-80.36771943592234
0.23,-80.37685998978712,-80.37685998978712
0.24,-80.38572819909868,-80.38572819909868
0.25,-80.39433993174958,-80.39433993174958
0.26,-80.40270968567083,-80.40270968567083
0.27,-80.41085075025376,-80.41085075025376
0.28,-80.4187753428322,-80.4187753428322
0.29,-80.42649472505357,-80.42649472505357
0.3,-80.43401930288357,-80.43401930288357
0.31,-80.44135871313615,-80.44135871313615
0.32,-80.44852189884165,-80.44852189884165
0.33,-80.45551717523504,-80.45551717523504
0.34,-80.4623522878509,-80.4623522878509
0.35000000000000003,-80.46903446388436,-80.46903446388436
0.36,-80.475570457792,-80.475570457792
0.37,-80.48196659190646,-80.48196659190646
0.38,-80.48822879276926,-80.48822879276926
0.39,-80.49436262366828,-80.49436262366828
0.4,-80.50037331390988,-80.50037331390988
0.41000000000000003,-80.5062657851883,-80.5062657851883
0.42,-80.51204467539978,-80.51204467539978
0.43,-80.5177143601964,-80.5177143601964
0.44,-80.52327897252894,-80.52327897252894
0.45,-80.52874242040006,-80.52874242040006
0.46,-80.53410840302477,-80.53410840302477
0.47000000000000003,-80.53938042555893,-80.53938042555893
0.48,-80.54456181254758,-80.54456181254758
0.49,-80.54965572021679,-80.54965572021679
0.5,-80.554665147742,-80.554665147742
0.51,-80.55959294756724,-80.55959294756724
0.52,-80.5644418348938,-80.5644418348938
0.53,-80.56921439640588,-80.56921439640588
0.54,-80.57391309829683,-80.57391309829683
0.55,-80.5785402936779,-80.5785402936779
0.56,-80.5830982294171,-80.5830982294171
0.5700000000000001,-80.58758905245807,-80.58758905245807
0.58,-80.59201481567389,-80.59201481567389
0.59,-80.5963774832876,-80.5963774832876
0.6,-80.60067893589896,-80.60067893589896
0.61,-80.60492097516564,-80.60492097516564
0.62,-80.60910532813942,-80.60910532813942
0.63,-80.61323365131791,-80.61323365131791
0.64,-80.61730753441081,-80.61730753441081
0.65,-80.62132850386237,-80.62132850386237
0.66,-80.62529802613231,-80.62529802613231
0.67,-80.62921751076972,-80.62921751076972
0.68,-80.63308831329176,-80.63308831329176
0.6900000000000001,-80.63691173787502,-80.63691173787502
0.7000000000000001,-80.64068903987302,-80.64068903987302
0.71,-80.64442142820542,-80.64442142820542
0.72,-80.64811006756548,-80.64811006756548
0.73,-80.65175608052914,-80.65175608052914
0.74,-80.65536054951738,-80.65536054951738
0.75,-80.6589245186578,-80.6589245186578
0.76,-80.66244899553024,-80.66244899553024
0.77,-80.66593495282343,-80.66593495282343
0.78,-80.66938332988633,-80.66938332988633
0.79,-80.67279503420724,-80.67279503420724
0.8,-80.67617094280575,-80.67617094280575
0.81,-80.67951190354832,-80.67951190354832
0.8200000000000001,-80.68281873639485,-80.68281873639485
0.8300000000000001,-80.68609223458785,-80.68609223458785
0.84,-80.68933316576188,-80.68933316576188
0.85,-80.69254227301369,-80.69254227301369
0.8500000238418579,-80.69254228066168,-80.69254228066168
0.8600000238418579,-80.69572028348905,-80.69572028348905
0.8700000238418579,-80.69886787896323,-80.69886787896323
0.8800000238418579,-80.7019857424239,-80.7019857424239
0.890000023841858,-80.70507452841542,-80.70507452841542
0.900000023841858,-80.70813487150896,-80.70813487150896
0.910000023841858,-80.7111673870932,-80.7111673870932
0.9200000238418579,-80.71417267211652,-80.71417267211652
0.9300000238418579,-80.71715130580117,-80.71715130580117
0.9400000238418579,-80.72010385031741,-80.72010385031741
0.9500000238418579,-80.72303085143578,-80.72303085143578
0.9600000238418579,-80.72593283913652,-80.72593283913652
0.9700000238418579,-80.72881032820564,-80.72881032820564
0.9800000238418579,-80.73166381879608,-80.73166381879608
0.9900000238418579,-80.73449379695832,-80.73449379695832
1.0000000238418578,-80.73730073516579,-80.73730073516579
1.0100000238418578,-80.74008509278796,-80.74008509278796
1.0200000238418578,-80.7428473165787,-80.7428473165787
1.0300000238418578,-80.74558784111008,-80.74558784111008
1.0400000238418579,-80.74830708920915,-80.74830708920915
1.0500000238418579,-80.75100547236968,-80.75100547236968
1.0600000238418579,-80.75368339113628,-80.75368339113628
1.0700000238418579,-80.75634123549771,-80.75634123549771
1.080000023841858,-80.75897938523389,-80.75897938523389
1.090000023841858,-80.76159821027181,-80.76159821027181
1.100000023841858,-80.76419807100757,-80.76419807100757
1.110000023841858,-80.76677931863586,-80.76677931863586
1.120000023841858,-80.7693422954487,-80.7693422954487
1.130000023841858,-80.77188733512746,-80.77188733512746
1.140000023841858,-80.77441476303088,-80.77441476303088
1.150000023841858,-80.77692489646105,-80.77692489646105
1.160000023841858,-80.77941804492102,-80.77941804492102
1.170000023841858,-80.78189451036742,-80.78189451036742
1.180000023841858,-80.78435458745348,-80.78435458745348
1.190000023841858,-80.78679856374987,-80.78679856374987
1.200000023841858,-80.78922671997594,-80.78922671997594
1.210000023841858,-80.79163933020249,-80.79163933020249
1.220000023841858,-80.79403666206632,-80.79403666206632
1.230000023841858,-80.79641897696175,-80.79641897696175
1.2400000238418578,-80.79878653023546,-80.79878653023546
1.2500000238418578,-80.801139571359,-80.801139571359
1.2600000238418578,-80.8034783441171,-80.8034783441171
1.2700000238418578,-80.8058030867662,-80.8058030867662
1.2800000238418578,-80.80811403220716,-80.80811403220716
1.2900000238418579,-80.81041140813443,-80.81041140813443
1.3000000238418579,-80.81269543719002,-80.81269543719002
1.3100000238418579,-80.81496633711129,-80.81496633711129
1.3200000238418579,-80.81722432087017,-80.81722432087017
1.330000023841858,-80.81946959680864,-80.81946959680864
1.340000023841858,-80.82170236877077,-80.82170236877077
1.350000023841858,-80.82392283622966,-80.82392283622966
1.360000023841858,-80.8261311944091,-80.8261311944091
1.370000023841858,-80.82832763439785,-80.82832763439785
1.380000023841858,-80.83051234326885,-80.83051234326885
1.390000023841858,-80.83268550418083,-80.83268550418083
1.400000023841858,-80.83484729649481,-80.83484729649481
1.410000023841858,-80.83699789587112,-80.83699789587112
1.420000023841858,-80.83913747436404,-80.83913747436404
1.430000023841858,-80.84126620052785,-80.84126620052785
1.440000023841858,-80.84338423949745,-80.84338423949745
1.450000023841858,-80.84549175309054,-80.84549175309054
1.460000023841858,-80.84758889987994,-80.84758889987994
1.470000023841858,-80.8496758352849,-80.8496758352849
1.480000023841858,-80.85175271165731,-80.85175271165731
1.490000023841858,-80.85381967835248,-80.85381967835248
1.5000000238418578,-80.85587688180259,-80.85587688180259
1.5100000238418578,-80.85792446559873,-80.85792446559873
1.5200000238418578,-80.85996257055498,-80.85996257055498
1.5300000238418578,-80.86199133478053,-80.86199133478053
1.5400000238418579,-80.86401089374415,-80.86401089374415
1.5500000238418579,-80.8660213803436,-80.8660213803436
1.5600000238418579,-80.86802292495997,-80.86802292495997
1.5700000238418579,-80.8700156555301,-80.8700156555301
1.580000023841858,-80.87199969759111,-80.87199969759111
1.590000023841858,-80.87397517434752,-80.87397517434752
1.600000023841858,-80.87594220672277,-80.87594220672277
1.610000023841858,-80.87790091341624,-80.87790091341624
1.620000023841858,-80.87985141095184,-80.87985141095184
