t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.03057370744332,-80.03057370744332
0.02,-80.05736319244907,-80.05736319244907
0.03,-80.08164105770501,-80.08164105770501
0.04,-80.10402434724277,-80.10402434724277
0.05,-80.12488742024918,-80.12488742024918
0.06,-80.14448508121318,-80.14448508121318
0.07,-80.1630027712484,-80.1630027712484
0.08,-80.18058165510023,-80.18058165510023
0.09,-80.19733282535142,-80.19733282535142
0.1,-80.21334601071264,-80.21334601071264
0.11,-80.22869521958633,-80.22869521958633
0.12,-80.24344255510724,-80.24344255510724
0.13,-80.25764088380039,-80.25764088380039
0.14,-80.27133575698883,-80.27133575698883
0.15,-80.28456682916206,-80.28456682916206
0.16,-80.29736892815718,-80.29736892815718
0.17,-80.30977287831371,-80.30977287831371
0.18,-80.32180614453414,-80.32180614453414
0.19,-80.33349334381806,-80.33349334381806
0.2,-80.34485665703068,-80.34485665703068
0.21,-80.35591616427527,-80.35591616427527
0.22,-80.36669012092466,-80.36669012092466
0.23,-80.37719518700345,-80.37719518700345
0.24,-80.38744661935408,-80.38744661935408
0.25,-80.39745843394037,-80.39745843394037
0.26,-80.40724354382847,-80.40724354382847
0.27,-80.41681387731172,-80.41681387731172
0.28,-80.42618047957725,-80.42618047957725
0.29,-80.435353600746,-80.435353600746
0.3,-80.44434277250042,-80.44434277250042
0.31,-80.45315687510356,-80.45315687510356
0.32,-80.46180419626532,-80.46180419626532
0.33,-80.47029248314178,-80.47029248314178
0.34,-80.47862898836327,-80.47862898836327
0.35000000000000003,-80.48682051104873,-80.48682051104873
0.36,-80.49487343337486,-80.49487343337486
0.37,-80.50279375341641,-80.50279375341641
0.38,-80.51058711461054,-80.51058711461054
0.39,-80.51825883239981,-80.51825883239981
0.4,-80.52581391829396,-80.52581391829396
0.41000000000000003,-80.53325710173499,-80.53325710173499
0.42,-80.54059284997047,-80.54059284997047
0.43,-80.54782538618883,-80.54782538618883
0.44,-80.55495870609673,-80.55495870609673
0.45,-80.56199659310573,-80.56199659310573
0.46,-80.56894263228261,-80.56894263228261
0.47000000000000003,-80.57580022317683,-80.57580022317683
0.48,-80.58257259163548,-80.58257259163548
0.49,-80.58926280073653,-80.58926280073653
0.5,-80.5958737608511,-80.5958737608511
0.51,-80.60240823901152,-80.60240823901152
0.52,-80.60886886756354,-80.60886886756354
0.53,-80.61525815220314,-80.61525815220314
0.54,-80.6215784794726,-80.6215784794726
0.55,-80.62783212369517,-80.62783212369517
0.56,-80.63402125346538,-80.63402125346538
0.5700000000000001,-80.6401479377012,-80.6401479377012
0.58,-80.64621415127621,-80.64621415127621
0.59,-80.65222178028532,-80.65222178028532
0.6,-80.65817262697703,-80.65817262697703
0.61,-80.66406841436604,-80.66406841436604
0.62,-80.66991079054799,-80.66991079054799
0.63,-80.67570133274381,-80.67570133274381
0.64,-80.68144155108615,-80.68144155108615
0.65,-80.68713289218698,-80.68713289218698
0.66,-80.69277674247253,-80.69277674247253
0.67,-80.69837443132617,-80.69837443132617
0.68,-80.70392723402807,-80.70392723402807
0.6900000000000001,-80.70943637454043,-80.70943637454043
0.7000000000000001,-80.71490302811063,-80.71490302811063
0.71,-80.72032832370779,-80.72032832370779
0.72,-80.72571334637492,-80.72571334637492
0.73,-80.7310591393703,-80.7310591393703
0.74,-80.73636670624263,-80.73636670624263
0.75,-80.7416370127565,-80.7416370127565
0.76,-80.74687098872353,-80.74687098872353
0.77,-80.75206952972042,-80.75206952972042
0.78,-80.7572334987196,-80.7572334987196
0.79,-80.76236372763091,-80.76236372763091
0.8,-80.7674610187361,-80.7674610187361
