Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
