t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.030997346393,-80.030997346393
0.02,-80.0590771405998,-80.0590771405998
0.03,-80.08521578911238,-80.08521578911238
0.04,-80.10988041951617,-80.10988041951617
0.05,-80.13334170572566,-80.13334170572566
0.06,-80.15577587975095,-80.15577587975095
0.07,-80.17730705741047,-80.17730705741047
0.08,-80.1980280206836,-80.1980280206836
0.09,-80.21801157518141,-80.21801157518141
0.1,-80.23731718760784,-80.23731718760784
0.11,-80.2559950401808,-80.2559950401808
0.12,-80.27408858810166,-80.27408858810166
0.13,-80.2916362161208,-80.2916362161208
0.14,-80.30867233866152,-80.30867233866152
0.15,-80.32522814971335,-80.32522814971335
0.16,-80.34133214896737,-80.34133214896737
0.17,-80.35701052305114,-80.35701052305114
0.18,-80.37228743165988,-80.37228743165988
0.19,-80.38718523025967,-80.38718523025967
0.2,-80.40172464966193,-80.40172464966193
0.21,-80.4159249455498,-80.4159249455498
0.22,-80.42980402643146,-80.42980402643146
0.23,-80.44337856555892,-80.44337856555892
0.24,-80.45666410043522,-80.45666410043522
0.25,-80.46967512238146,-80.46967512238146
0.26,-80.48242515781351,-80.48242515781351
0.27,-80.49492684242108,-80.49492684242108
0.28,-80.50719198910049,-80.50719198910049
0.29,-80.51923165030473,-80.51923165030473
0.3,-80.53105617533984,-80.53105617533984
0.31,-80.54267526305676,-80.54267526305676
0.32,-80.55409801030943,-80.55409801030943
0.33,-80.56533295652092,-80.56533295652092
0.34,-80.57638812468977,-80.57638812468977
0.35000000000000003,-80.58727105907884,-80.58727105907884
0.36,-80.59798885989623,-80.59798885989623
0.37,-80.60854821517876,-80.60854821517876
0.38,-80.61895543011238,-80.61895543011238
0.39,-80.62921645400891,-80.62921645400891
0.4,-80.63933690512985,-80.63933690512985
0.41000000000000003,-80.64932209352129,-80.64932209352129
0.42,-80.65917704204702,-80.65917704204702
0.43,-80.66890650576583,-80.66890650576583
0.44,-80.67851498978789,-80.67851498978789
0.45,-80.6880067657363,-80.6880067657363
0.46,-80.69738588694749,-80.69738588694749
0.47000000000000003,-80.70665620249939,-80.70665620249939
0.48,-80.71582137018143,-80.71582137018143
0.49,-80.72488486848601,-80.72488486848601
0.5,-80.73385000770355,-80.73385000770355
0.51,-80.74271994020422,-80.74271994020422
0.52,-80.75149766996924,-80.75149766996924
0.53,-80.76018606143194,-80.76018606143194
0.54,-80.76878784768283,-80.76878784768283
0.55,-80.77730563810405,-80.77730563810405
0.56,-80.78574192546291,-80.78574192546291
0.5700000000000001,-80.79409909252405,-80.79409909252405
0.58,-80.80237941819293,-80.80237941819293
0.59,-80.81058508326737,-80.81058508326737
0.6,-80.81871817578566,-80.81871817578566
0.61,-80.82678069603173,-80.82678069603173
0.62,-80.83477456121575,-80.83477456121575
0.63,-80.84270160984173,-80.84270160984173
0.64,-80.85056360581001,-80.85056360581001
0.65,-80.85836224224887,-80.85836224224887
0.66,-80.8660991451253,-80.8660991451253
0.67,-80.87377587660973,-80.87377587660973
