t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.05772629227882,-80.05772629227882
0.02,-80.10257040847965,-80.10257040847965
0.03,-80.14092070870322,-80.14092070870322
0.04,-80.1751899025069,-80.1751899025069
0.05,-80.20657716615226,-80.20657716615226
0.06,-80.23578067026234,-80.23578067026234
0.07,-80.2632489577264,-80.2632489577264
0.08,-80.28929052944054,-80.28929052944054
0.09,-80.31412859627906,-80.31412859627906
0.1,-80.3379311112405,-80.3379311112405
0.11,-80.36082843092245,-80.36082843092245
0.12,-80.38292429485371,-80.38292429485371
0.13,-80.40430297183,-80.40430297183
0.14,-80.4250340951891,-80.4250340951891
0.15,-80.44517604388561,-80.44517604388561
0.16,-80.46477837400832,-80.46477837400832
0.17,-80.48388360984748,-80.48388360984748
0.18,-80.50252859067831,-80.50252859067831
0.19,-80.52074550164743,-80.52074550164743
0.2,-80.53856267522347,-80.53856267522347
0.21,-80.55600522284976,-80.55600522284976
0.22,-80.5730955388581,-80.5730955388581
0.23,-80.58985370690401,-80.58985370690401
0.24,-80.60629783102011,-80.60629783102011
0.25,-80.62244430771368,-80.62244430771368
0.26,-80.63830805146286,-80.63830805146286
0.27,-80.65390268301336,-80.65390268301336
0.28,-80.66924068772842,-80.66924068772842
0.29,-80.68433354961383,-80.68433354961383
0.3,-80.6991918654635,-80.6991918654635
0.31,-80.7138254426066,-80.7138254426066
0.32,-80.72824338305628,-80.72824338305628
0.33,-80.74245415632365,-80.74245415632365
0.34,-80.75646566270223,-80.75646566270223
0.35000000000000003,-80.77028528850862,-80.77028528850862
0.36,-80.78391995450704,-80.78391995450704
0.37,-80.79737615851379,-80.79737615851379
0.38,-80.81066001302334,-80.81066001302334
0.39,-80.82377727854298,-80.82377727854298
0.4,-80.83673339322876,-80.83673339322876
0.41000000000000003,-80.84953349931456,-80.84953349931456
0.42,-80.86218246673614,-80.86218246673614
0.43,-80.87468491433003,-80.87468491433003
0.44,-80.88704522888095,-80.88704522888095
0.45,-80.89926758229852,-80.89926758229852
0.46,-80.91135594713563,-80.91135594713563
0.47000000000000003,-80.92331411064028,-80.92331411064028
0.48,-80.93514568750939,-80.93514568750939
0.49,-80.94685413148987,-80.94685413148987
0.5,-80.95844274595547,-80.95844274595547
0.51,-80.96991469355707,-80.96991469355707
0.52,-80.98127300505978,-80.98127300505978
0.53,-80.99252058743849,-80.99252058743849
0.54,-81.00366023131126,-81.00366023131126
0.55,-81.01469461778112,-81.01469461778112
0.56,-81.02562632473148,-81.02562632473148
0.5700000000000001,-81.036457832641,-81.036457832641
0.58,-81.04719152995735,-81.04719152995735
0.59,-81.05782971806784,-81.05782971806784
0.6,-81.06837461591222,-81.06837461591222
0.61,-81.07882836425938,-81.07882836425938
0.62,-81.0891930296834,-81.0891930296834
0.63,-81.09947060826956,-81.09947060826956
0.64,-81.10966302906449,-81.10966302906449
0.65,-81.11977215729488,-81.11977215729488
0.66,-81.12979979737963,-81.12979979737963
0.67,-81.13974769574708,-81.13974769574708
0.68,-81.14961754346562,-81.14961754346562
0.6900000000000001,-81.159410978722,-81.159410978722
0.7000000000000001,-81.169129589147,-81.169129589147
0.71,-81.17877491399118,-81.17877491399118
0.72,-81.18834844618259,-81.18834844618259
0.73,-81.19785163425898,-81.19785163425898
0.74,-81.20728588419763,-81.20728588419763
0.75,-81.21665256112996,-81.21665256112996
0.76,-81.22595299097088,-81.22595299097088
0.77,-81.2351884619585,-81.2351884619585
0.78,-81.24436022610936,-81.24436022610936
0.79,-81.25346950059856,-81.25346950059856
0.8,-81.26251746906635,-81.26251746906635
0.81,-81.27150528286207,-81.27150528286207
0.8200000000000001,-81.280434062222,-81.280434062222
0.8300000000000001,-81.2893048973926,-81.2893048973926
0.84,-81.29811884969645,-81.29811884969645
0.85,-81.30687695254765,-81.30687695254765
0.8500000238418579,-81.30687697342715,-81.30687697342715
0.8600000238418579,-81.31558023317278,-81.31558023317278
0.8700000238418579,-81.32422963040491,-81.32422963040491
0.8800000238418579,-81.33282612044967,-81.33282612044967
0.890000023841858,-81.34137063433981,-81.34137063433981
0.900000023841858,-81.34986407961789,-81.34986407961789
0.910000023841858,-81.35830734110932,-81.35830734110932
0.9200000238418579,-81.36670128165414,-81.36670128165414
0.9300000238418579,-81.37504674281438,-81.37504674281438
0.9400000238418579,-81.38334454554867,-81.38334454554867
0.9500000238418579,-81.3915954908571,-81.3915954908571
0.9600000238418579,-81.39980036040528,-81.39980036040528
0.9700000238418579,-81.40795991711848,-81.40795991711848
0.9800000238418579,-81.41607490575392,-81.41607490575392
0.9900000238418579,-81.42414605344912,-81.42414605344912
1.0000000238418578,-81.43217407025213,-81.43217407025213
1.0100000238418578,-81.44015964962978,-81.44015964962978
1.0200000238418578,-81.44810346895372,-81.44810346895372
1.0300000238418578,-81.45600618997202,-81.45600618997202
1.0400000238418579,-81.46386845926364,-81.46386845926364
1.0500000238418579,-81.47169090867331,-81.47169090867331
1.0600000238418579,-81.47947415573357,-81.47947415573357
1.0700000238418579,-81.48721880406978,-81.48721880406978
1.080000023841858,-81.49492544378818,-81.49492544378818
1.090000023841858,-81.5025946518576,-81.5025946518576
1.100000023841858,-81.51022699247241,-81.51022699247241
1.110000023841858,-81.51782301740406,-81.51782301740406
1.120000023841858,-81.52538326634063,-81.52538326634063
1.130000023841858,-81.53290826721742,-81.53290826721742
1.140000023841858,-81.54039853652947,-81.54039853652947
1.150000023841858,-81.54785457964495,-81.54785457964495
1.160000023841858,-81.55527689109327,-81.55527689109327
1.170000023841858,-81.5626659548636,-81.5626659548636
1.180000023841858,-81.57002224467212,-81.57002224467212
1.190000023841858,-81.57734622423767,-81.57734622423767
1.200000023841858,-81.5846383475376,-81.5846383475376
1.210000023841858,-81.59189905906588,-81.59189905906588
1.220000023841858,-81.59912879406987,-81.59912879406987
1.230000023841858,-81.60632797879387,-81.60632797879387
1.2400000238418578,-81.61349703070702,-81.61349703070702
1.2500000238418578,-81.62063635871965,-81.62063635871965
1.2600000238418578,-81.6277463634085,-81.6277463634085
1.2700000238418578,-81.63482743721809,-81.63482743721809
1.2800000238418578,-81.64187996467179,-81.64187996467179
