t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.00427062098643,-80.00427062098643
0.02,-80.00821400232535,-80.00821400232535
0.03,-80.01199378522382,-80.01199378522382
0.04,-80.01568185147723,-80.01568185147723
0.05,-80.0193110125938,-80.0193110125938
0.06,-80.0228948802371,-80.0228948802371
0.07,-80.02643732105386,-80.02643732105386
0.08,-80.02993743600413,-80.02993743600413
0.09,-80.03339227419086,-80.03339227419086
0.1,-80.03679830593124,-80.03679830593124
0.11,-80.04015219197852,-80.04015219197852
0.12,-80.04345114942655,-80.04345114942655
0.13,-80.04669308860508,-80.04669308860508
0.14,-80.04987662379254,-80.04987662379254
0.15,-80.0530010186582,-80.0530010186582
0.16,-80.05606610217981,-80.05606610217981
0.17,-80.05907217557433,-80.05907217557433
0.18,-80.06201992151514,-80.06201992151514
0.19,-80.06491032137315,-80.06491032137315
0.2,-80.06774458290852,-80.06774458290852
0.21,-80.07052407893725,-80.07052407893725
0.22,-80.07325029649849,-80.07325029649849
0.23,-80.07592479548941,-80.07592479548941
0.24,-80.07854917558153,-80.07854917558153
0.25,-80.08112505017036,-80.08112505017036
0.26,-80.08365402621048,-80.08365402621048
0.27,-80.0861376888979,-80.0861376888979
0.28,-80.0885775902848,-80.0885775902848
0.29,-80.09097524106686,-80.09097524106686
0.3,-80.09333210488761,-80.09333210488761
0.31,-80.09564959463593,-80.09564959463593
0.32,-80.09792907029413,-80.09792907029413
0.33,-80.10017183797667,-80.10017183797667
0.34,-80.10237914989366,-80.10237914989366
0.35000000000000003,-80.10455220497809,-80.10455220497809
0.36,-80.10669215003094,-80.10669215003094
0.37,-80.10880008121535,-80.10880008121535
0.38,-80.1108770457945,-80.1108770457945
0.39,-80.1129240440431,-80.1129240440431
0.4,-80.11494203122528,-80.11494203122528
0.41000000000000003,-80.11693191964106,-80.11693191964106
0.42,-80.11889458065286,-80.11889458065286
0.43,-80.12083084669564,-80.12083084669564
0.44,-80.12274151323392,-80.12274151323392
0.45,-80.12462734066256,-80.12462734066256
0.46,-80.12648905613302,-80.12648905613302
0.47000000000000003,-80.12832735529831,-80.12832735529831
0.48,-80.13014290397474,-80.13014290397474
0.49,-80.13193633973299,-80.13193633973299
0.5,-80.13370827339159,-80.13370827339159
0.51,-80.13545929043394,-80.13545929043394
0.52,-80.13718995235327,-80.13718995235327
0.53,-80.13890079791065,-80.13890079791065
0.54,-80.14059234432483,-80.14059234432483
0.55,-80.142265088395,-80.142265088395
0.56,-80.14391950755612,-80.14391950755612
0.5700000000000001,-80.14555606087005,-80.14555606087005
