t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.02086012222243,-80.02086012222243
0.02,-80.0387193324909,-80.0387193324909
0.03,-80.05469509522506,-80.05469509522506
0.04,-80.0692884242004,-80.0692884242004
0.05,-80.0827890276929,-80.0827890276929
0.06,-80.09539249631283,-80.09539249631283
0.07,-80.10724334381027,-80.10724334381027
0.08,-80.11845403424638,-80.11845403424638
0.09,-80.12911480145573,-80.12911480145573
0.1,-80.13929942763373,-80.13929942763373
0.11,-80.14906901741851,-80.14906901741851
0.12,-80.15847465612659,-80.15847465612659
0.13,-80.16755937949314,-80.16755937949314
0.14,-80.17635968181659,-80.17635968181659
0.15,-80.18490669542112,-80.18490669542112
0.16,-80.19322712616723,-80.19322712616723
0.17,-80.20134400288876,-80.20134400288876
0.18,-80.20927728241746,-80.20927728241746
0.19,-80.21704434118794,-80.21704434118794
0.2,-80.22466037684396,-80.22466037684396
0.21,-80.23213873823262,-80.23213873823262
0.22,-80.23949119774781,-80.23949119774781
0.23,-80.24672817738038,-80.24672817738038
0.24,-80.253858937117,-80.253858937117
0.25,-80.2608917328151,-80.2608917328151
0.26,-80.26783394902047,-80.26783394902047
0.27,-80.27469221132907,-80.27469221132907
0.28,-80.28147248172642,-80.28147248172642
0.29,-80.28818013995831,-80.28818013995831
0.3,-80.29482005318579,-80.29482005318579
0.31,-80.3013966358748,-80.3013966358748
0.32,-80.30791390149206,-80.30791390149206
0.33,-80.31437550726851,-80.31437550726851
0.34,-80.32078479312747,-80.32078479312747
0.35000000000000003,-80.32714481561304,-80.32714481561304
0.36,-80.33345837755759,-80.33345837755759
0.37,-80.3397280541729,-80.3397280541729
0.38,-80.34595621590861,-80.34595621590861
0.39,-80.3521450487302,-80.3521450487302
0.4,-80.35829657194195,-80.35829657194195
0.41000000000000003,-80.36441265408413,-80.36441265408413
0.42,-80.37049502700755,-80.37049502700755
0.43,-80.37654529839571,-80.37654529839571
0.44,-80.38256496299606,-80.38256496299606
0.45,-80.38855541262835,-80.38855541262835
0.46,-80.39451794512468,-80.39451794512468
0.47000000000000003,-80.40045377242735,-80.40045377242735
0.48,-80.40636402779197,-80.40636402779197
0.49,-80.41224977232346,-80.41224977232346
0.5,-80.41811200087616,-80.41811200087616
0.51,-80.42395164733854,-80.42395164733854
0.52,-80.4297695894622,-80.4297695894622
0.53,-80.43556665322798,-80.43556665322798
0.54,-80.44134361679471,-80.44134361679471
0.55,-80.44710121408939,-80.44710121408939
0.56,-80.45284013810902,-80.45284013810902
0.5700000000000001,-80.45856104386864,-80.45856104386864
0.58,-80.46426455115099,-80.46426455115099
0.59,-80.4699512469876,-80.4699512469876
0.6,-80.47562168792997,-80.47562168792997
0.61,-80.48127640213247,-80.48127640213247
0.62,-80.48691589128569,-80.48691589128569
0.63,-80.49254063234257,-80.49254063234257
0.64,-80.4981510791556,-80.4981510791556
0.65,-80.50374766395628,-80.50374766395628
0.66,-80.50933079870362,-80.50933079870362
0.67,-80.51490087638142,-80.51490087638142
0.68,-80.5204582721344,-80.5204582721344
0.6900000000000001,-80.52600334436833,-80.52600334436833
0.7000000000000001,-80.53153643573017,-80.53153643573017
0.71,-80.53705787402345,-80.53705787402345
0.72,-80.54256797309792,-80.54256797309792
0.73,-80.5480670336138,-80.5480670336138
0.74,-80.55355534379572,-80.55355534379572
0.75,-80.55903318010078,-80.55903318010078
0.76,-80.56450080789035,-80.56450080789035
0.77,-80.56995848199051,-80.56995848199051
0.78,-80.5754064472668,-80.5754064472668
0.79,-80.58084493913834,-80.58084493913834
0.8,-80.58627418406911,-80.58627418406911
0.81,-80.59169440000946,-80.59169440000946
0.8200000000000001,-80.59710579682522,-80.59710579682522
0.8300000000000001,-80.60250857670128,-80.60250857670128
0.84,-80.60790293449715,-80.60790293449715
0.85,-80.61328905812412,-80.61328905812412
0.8500000238418579,-80.61328907096394,-80.61328907096394
0.8600000238418579,-80.61866714165664,-80.61866714165664
0.8700000238418579,-80.6240373343823,-80.6240373343823
0.8800000238418579,-80.62939981803115,-80.62939981803115
0.890000023841858,-80.63475475574774,-80.63475475574774
0.900000023841858,-80.6401023051517,-80.6401023051517
0.910000023841858,-80.64544261861458,-80.64544261861458
0.9200000238418579,-80.65077584346281,-80.65077584346281
0.9300000238418579,-80.6561021222047,-80.6561021222047
0.9400000238418579,-80.66142159274453,-80.66142159274453
0.9500000238418579,-80.66673438854643,-80.66673438854643
0.9600000238418579,-80.67204063884945,-80.67204063884945
0.9700000238418579,-80.67734046883079,-80.67734046883079
0.9800000238418579,-80.68263399975294,-80.68263399975294
0.9900000238418579,-80.6879213491434,-80.6879213491434
1.0000000238418578,-80.69320263092699,-80.69320263092699
1.0100000238418578,-80.69847795556944,-80.69847795556944
1.0200000238418578,-80.70374743021931,-80.70374743021931
1.0300000238418578,-80.70901115881114,-80.70901115881114
1.0400000238418579,-80.71426924222641,-80.71426924222641
1.0500000238418579,-80.71952177835041,-80.71952177835041
1.0600000238418579,-80.72476886223586,-80.72476886223586
1.0700000238418579,-80.73001058618101,-80.73001058618101
1.080000023841858,-80.73524703983072,-80.73524703983072
1.090000023841858,-80.74047831027028,-80.74047831027028
1.100000023841858,-80.7457044821175,-80.7457044821175
1.110000023841858,-80.75092563761012,-80.75092563761012
1.120000023841858,-80.75614185668957,-80.75614185668957
1.130000023841858,-80.76135321707079,-80.76135321707079
1.140000023841858,-80.7665597943313,-80.7665597943313
1.150000023841858,-80.77176166196556,-80.77176166196556
1.160000023841858,-80.77695889146649,-80.77695889146649
1.170000023841858,-80.78215155238415,-80.78215155238415
1.180000023841858,-80.78733971240688,-80.78733971240688
1.190000023841858,-80.79252343738494,-80.79252343738494
1.200000023841858,-80.79770279143126,-80.79770279143126
1.210000023841858,-80.80287783694396,-80.80287783694396
1.220000023841858,-80.80804863468512,-80.80804863468512
1.230000023841858,-80.81321524381255,-80.81321524381255
1.2400000238418578,-80.8183777219268,-80.8183777219268
1.2500000238418578,-80.8235361251486,-80.8235361251486
1.2600000238418578,-80.8286905081229,-80.8286905081229
1.2700000238418578,-80.83384092409405,-80.83384092409405
1.2800000238418578,-80.83898742493223,-80.83898742493223
1.2900000238418579,-80.84413006118362,-80.84413006118362
1.3000000238418579,-80.8492688821096,-80.8492688821096
1.3100000238418579,-80.85440393570886,-80.85440393570886
1.3200000238418579,-80.8595352687673,-80.8595352687673
1.330000023841858,-80.86466292688729,-80.86466292688729
1.340000023841858,-80.8697869545363,-80.8697869545363
1.350000023841858,-80.87490739505496,-80.87490739505496
1.360000023841858,-80.88002429070019,-80.88002429070019
